size,time_ns,operations
0,706700,1
0,10200,1
0,7600,1
0,6100,1
0,6300,1
0,5200,1
0,4800,1
0,4800,1
0,3700,1
0,3600,1
0,6200,1
0,6600,1
0,5000,1
0,4400,1
0,3000,1
0,3200,1
0,4400,1
0,6700,1
0,3900,1
0,5100,1
0,6400,1
0,4800,1
0,3300,1
0,5000,1
0,4000,1
0,4800,1
0,3900,1
0,5500,1
0,3900,1
0,7300,1
0,8700,1
0,8100,1
0,8100,1
0,10200,1
0,7000,1
0,76200,1
0,6600,1
0,5700,1
0,7000,1
0,7500,1
0,7900,1
0,6100,1
0,7900,1
0,4700,1
0,5400,1
0,6200,1
0,5200,1
0,4600,1
0,7200,1
0,4900,1
0,4600,1
0,3900,1
0,4000,1
0,4100,1
0,4400,1
0,4200,1
0,3700,1
0,4200,1
0,4200,1
0,4400,1
0,6500,1
0,39900,1
0,4000,1
0,4200,1
0,4500,1
0,4800,1
0,5200,1
0,3400,1
0,4300,1
0,5300,1
